date,foreign_direct_investment__equity,foreign_direct_investment__other_capital,portfolio_investment__equity,portfolio_investment__bonds,portfolio_investment__money_market_instruments,other_investments__trade_credits,other_investments__loans,other_investments__currency_deposits,other_investments__other_claims
2010-01-01,50.78184257,6.399979,109.72666759,0,9.5,0,252.70373886000002,0,0.028
2010-02-01,4.9674410899999994,1.03239,272.17756776,0,45,0,136.02024040999999,0,0
2010-03-01,10.68483424,0.065975,545.67988166,0,70.1,0,244.54318387,0,0.67
2010-04-01,69.64525785,1.212623,229.79457474,0.06847684,29.0269363,0,37.5562945,0,0
2010-05-01,114.6916455,0.2,157.02729207,0,147.757025,0,150.4449519,0,0
2010-06-01,12.83640177,13.62433452,193.75465886,0,62.619286,0,118.53816,0,0.999866
2010-07-01,75.28122612,2,284.70391729000005,0,87.032409,0,146.66272336,0,0.453392
2010-08-01,10.22197587,2.09995,145.42352481,0,33.432,0,59.98348875,0,0
2010-09-01,208.77769654,0.9132451800000001,201.82160718,0,150.595642,0.154875,90.67433253,0,0
2010-10-01,7.5556573799999995,5.832455,337.89392339999995,0,41.5,0,59.779845200000004,0,0
2010-11-01,38.07957915,6.07751327,280.30311193,0,46.939471,0,45.93173714,0,0.07415
2010-12-01,64.82732424,21.12740839,224.69355974,0,160.341436,0,54.634938049999995,0,0
2011-01-01,341.40381174000004,0.05,384.02956031,0,22.323375,0,50.895503670000004,0,24.372601449999998
2011-02-01,179.66870237999998,14.544863,222.92667534,0,52.368634,0,108.77846032,0,0
2011-03-01,15.69102953,2.372347,333.34184313,0.1,0,0,54.06373886,0,0
2011-04-01,154.36338684999998,3.47495,414.09081636,0,27.642858,0,115.013168,0,0
2011-05-01,3.36493851,2.3491226000000003,349.21497382,0,117.705497,0,538.45970051,0,0
2011-06-01,269.60840491000005,36.372957979999995,305.01193706,13.29823,137.159053,0,78.73813079,0,0
2011-07-01,63.5231383,92.66838713,381.33846042,26.187730600000002,99.7012,0,58.56740385,0,0
2011-08-01,91.57112701999999,24.579221899999997,226.07569359000001,0,0,0,61.655125670000004,0,0
2011-09-01,22.36897527,45.469547060000004,204.70799275,7.559229,149.078236,0,56.69886819,0,0
2011-10-01,97.30211102,0.5304035699999999,281.28685123,0,116.11906156,0,35.97023368,0,0
2011-11-01,64.62430563000001,2.799978,280.86982918,5.1688423,14.015266,0,65.51700631,0,0.267713
2011-12-01,195.41706411,29.227518449999998,308.61091876999996,14.17593573,19.01350577,1.3665091,386.93707013,0,0
2012-01-01,37.64071459,12.506113,309.07576759,5.1688423,20,0,21.46166487,0,1.5625
2012-02-01,314.45312901,0,1327.30370863,69.242171,79.55690521,32.16686713,21.84614757,0,5.122785
2012-03-01,160.16465956,0,998.11793051,0,147.17957563,11.505036550000002,42.14453667,0,0
2012-04-01,96.94972587999999,2.040471,993.7667952,74.477596,112.16820756,0,167.92383685,0,0.50898
2012-05-01,38.85195889,8.88446251,793.80730586,57.32953956,64.50993796,0,113.53052201999999,0,0
2012-06-01,59.5545285,7.9605692,203.46708561000003,0,2.035414,0,33.609368020000005,0,0.36075529
2012-07-01,297.02681545999997,8.585906699999999,498.91442361000003,1.004718,135.12692464,0.86553,34.080443530000004,0,1.60089
2012-08-01,37.16567573,0.4094661,1305.4740098900002,5,58.16333495000001,0,32.64229395,0,3.880575
2012-09-01,77.86908029000001,0.09998,1177.8892796199998,4.157208,228.16867354,0,210.81950912,0,4.51070625
2012-10-01,200.78107181000001,0.27996,1411.3273256300001,222.20694432,144.36956724,0,89.34941624,0,0
2012-11-01,306.98404769,24.970042,1526.05604349,10.5,65.250072,0,70.80517409999999,30.03493,0
2012-12-01,304.56893866,2.12166104,1275.61853575,136.09194606,24.990768,0,194.91115425,0,3.285866
2013-01-01,197.45246715000002,0,1794.12941526,497.29971661,87.76320591,0,107.15224064,1.733975,0.02698
2013-02-01,273.23333513,1.85883562,1774.04056102,42.15058329,62.77190365,0,102.20474448,0,0.02998
2013-03-01,70.62586315,18.249965,1362.3803971700002,59.968854,70.00221979000001,0,76.91043676999999,0,0.58643214
2013-04-01,26.659926,0,0.0768895,84.642374,259.777783,0,3.28918,0,0
2013-05-01,243.78996624,0.03348,2165.87441997,65.065893,85.05573133,0,465.0598644,0,4.96825939
2013-06-01,130.35312764,0.07455974,1768.25998052,1.028812,57.71935112,0,222.26103583000003,0,33.67099
2013-07-01,85.82579756999999,0.439378,1799.5126218,5.143689,85.13298143,0,47.925289649999996,0,4.57758994
2013-08-01,46.88491586,0.2084627,965.40286261,3.203738,25.023868,0,74.56841623999999,0,135.25444761000003
2013-09-01,61.920809850000005,0,767.6109630499999,23.28852621,61.158983,0,117.19817888,0,108.47222487
2013-10-01,23.04020076,0,811.9792268099999,187.38310644,95.907899,0,323.66126393999997,0,167.64162287
2013-11-01,24.440330969999998,0,879.8802561900001,194.73218575,118.363641,0,559.49211665,0,2.999945
2013-12-01,66.4681224,7.87068358,1027.4274614,45.53026259000001,34.55861318,0,37.36667904,2.475,70.16924565000001
2014-01-01,190.36387768,0,809.1468249400001,313.94522131,80.49393155,0,101.26758103,0,12.49999
2014-02-01,166.27041261000002,0,571.77185695,105.20822761,5.525038240000001,0,213.22916935,0,0.82718507
2014-03-01,133.75802652,0.3,879.4420477000001,63.33930024,40.31860914,14.7,121.90926,0,80.23741558
2014-04-01,293.70754870999997,0.219965,1610.76314057,383.83775450999997,158.31887625,0.63181268,58.08679328,0,34.57154762
2014-05-01,71.37247574,1.643725,1162.464345,263.3190753,78.17263854000001,0.7382960500000001,104.80657690000001,0,50.53183903
2014-06-01,96.50379473999999,9.54275325,1102.12492253,84.58816954000001,73.54573452,0,74.09682445,0,90.3
2014-07-01,72.94306373,0,956.16042605,494.77953992,157.73486972,0.098779,218.41532819999998,0,40.59369135
2014-08-01,79.07917156,0.293833,1171.09816359,278.0778087,83.35882073,4.984102,94.09057045,0,107.63452131999999
2014-09-01,392.18762409,0,1643.11288145,227.41991538,116.00497914,0,37.422434100000004,0,367.08643556
2014-10-01,468.48937838,0.7227,830.53172571,123.93002176,17.8706729,0.877053,229.73918489,0,1117.71497428
2014-11-01,40.875455450000004,0,664.71940126,52.70855049,174.25386171,0,71.86336985,0,208.8474645
2014-12-01,258.46262009000003,0.30588933,46.82521654,52.84151736,39.420384,,89.39865043,,9.34295348
2015-01-01,158.33924656,0,372.38317994,1.68352576,2.30680687,0,324.74741847,0,2.09791537
2015-02-01,166.12145834,0,397.92327184,1.43455083,10.95,0,36.27480431,0,28.46902459
2015-03-01,70.09449441,0.05094,369.07621045999997,702,2.8877970499999996,0,23.81253397,0,0.94131077
2015-04-01,23.32580113,0,493.06052311,30.22532477,74.69715446,0,29.20460007,0,19.410262
2015-05-01,122.23386241,0,703.58213232,0,100.33894,0,92.54804868000001,0.98999,78.62257421
2015-06-01,65.44604009,0.12994002000000002,649.43574437,20.3117149,111.495,0,31.481979420000002,0,19.81594505
2015-09-01,715.86,1.86,879.97,20.34,108.82,-,696.38,7.11,317.77
2015-12-01,120.98,2.17,792.12,0.28,160.1,-,420.84,-,60.46
2016-03-01,173.73,0.73,201.69,1.5,67.85,-,241.81,-,23.66
2016-06-01,184.21,0.08,279.81,-,57.5,-,520.19,-,0.38
2016-09-01,340.64,-,201.12,369,350.2,-,561.1,-,0.06
2016-12-01,344.57,0.07,176.45,25.4,82.37,0.16,917.01,0.03,2.83
2017-03-01,210.1,1.28,101.99,-,211.61,-,369.28,3,11
2017-06-01,274.07,0.3,614.05,57.87,98.59,-,747.47,-,-
2017-09-01,117.47,0.13,1932.07,115.43,719.91,-,956.69,0.52,302.88
2017-12-01,377.8,0.61,989.2,309.54,2178.79,10,1091.2,-,425.72
2018-03-01,246.61,0.005,701.61,335.88,3527.6,-,1268.44,-,223.49
2018-06-01,255.71,5.63,1048.39,400.14,2670.93,-,1121.66,-,11.08
2018-09-01,530.63,-,394.47,37.48,1291.1,6.29,561.24,-,34
2018-12-01,156.08,-,218.27,193.33,983.08,0.63,571.48,1.03,16.18
2019-03-01,246.67,0.7,656.23,567.15,5882.78,0,755.94,0,399.01
2019-06-01,223.14,-,497.62,316.28,3534.77,0.11,1067.02,-,413.37
2019-09-01,202.88,3.7,385.69,91.6,2549.76,0,1774.88,0,618.37
2019-12-01,249.55,7.7,353.65,47.36,1482.57,0,1480.94,2.96,177.65
2020-03-01,213.84,0.41,639.72,231.22,3438.54,0.05,559.79,0.82,769.99
2020-06-01,148.59,0,53.25,0,332.07,0,726,0,35.04
2020-09-01,414.79476593,,44.10488695,,363.14521505,,624.44838442,,14.99356499
