period,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
2010,42.075669999999995,41.4101,40.66703,40.32201,38.81579,37.46844,37.155190000000005,36.76965,34.58901,33.59701999999999,33.0593,32.33925
2011,33.13183,33.24607,33.2218,32.83533,32.10081,31.890909999999998,32.52171,32.914970000000004,31.74023,32.59469,32.12522,32.63978
2012,34.13657,33.85737,35.19744,36.66089,36.839529999999996,35.4125,36.285322,39.509809999999995,40.640404000000004,42.167410000000004,42.56826,43.83042
2013,45.8244437528,47.29584557399,47.88412451848,47.90309,47.70288,44.957,45.83411,45.428839999999994,44.10848,44.15511,43.414199999999994,42.84731
2014,40.667559999999995,36.923610000000004,37.39922,37.10527,35.3981,37.33003,39.065419999999996,38.705709999999996,38.278620000000004,36.28025,35.24866,34.24154
2015,32.385709999999996,29.566959999999998,29.35721,29.82975,28.56654,28.33521,31.222810000000003,30.637169999999998,29.880209999999998,30.33636,29.26302,28.28482
2016,27.60785,27.56838,27.336380000000002,26.61,26.59,26.5,25.58,25.03,23.81,23.69,25.08,26.99
2017,28.174226894,29.646676385,30.297945682,30.864632989,30.329636331,30.288411299,30.743882448,31.82570162,32.490900723,33.825011432,34.323539554727276,36.925529843736854
2018,40.685233207,42.492668841,46.257182161,47.492639432,47.605290416,47.788529071,47.119702152,45.838593559,44.305099104,41.99524274,42.167181452,43.116863593
2019,43.174283435,42.309609754,44.428102947,44.792699905,45.12281786602,45.069454868,44.903031404,43.607804398,41.852286712,40.464165373,39.803153019,38.595257596
2020,38.00976348,36.299517218,35.16444240572,33.52090427072,36.594997047,36.1852746561,35.87763604995,35.67126321088,35.73884286371,35.68946413231,35.35650931223,34.85
