year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1985,111.3,112.2,113.4,115.6,116.5,116.3,117.2,117,116.9,119.1,124.6,127.3
1986,134.6,139.7,140.8,146.2,144.2,147.4,150.9,151,155,160.9,163.3,163.8
1987,166.9,166.2,161.7,157.5,154.2,196.1,193.4,193,194.9,154.8,193.4,190.9
1988,190.8,191.4,195.5,200.1,199.2,206,211.5,217.6,224.1,228.5,231.4,233.6
1989,239.7,251,256.9,257.5,257.1,259.2,269.2,281,279.9,298.4,311.2,325.3
1990,343,349.3,356,362,382.3,417.4,445.4,463.6,468.2,480.3,502.6,513.8
1991,528.7,557,601,625,649,651.8,688,712.1,737.3,757.5,769,783
1992,794,810.7,839.1,844,860.5,870.8,879.7,969.3,1022,1076.5,1098,1107.6
1993,1113.4,1119.9,1130.5,1147.3,1186.9,1187.5,1180.8,1195.5,1217.3,1310.9,1414.5,1543.8
1994,1666.3,1715.3,1792.8,1845.6,1875.5,1919.1,1926.3,1914.1,1956,2023.4,2119.3,2205
1995,2285.3,2379.8,2551.1,2785.5,3100.8,3586.5,4314.3,4664.6,4858.1,5068,5095.2,5092.2
1996,5135.1,5180.4,5266.2,5412.4,5704.1,5798.7,5919.4,6141,6501.9,6634.8,6775.6,6992.1
1997,7268.3,7699.3,8561.4,8729.8,8592.3,8459.3,8148.8,7682,7130.8,6554.8,6395.8,6440.5
1998,6435.6,6426.2,6298.5,6113.9,6033.9,5892.1,5817,5795.7,5697.7,5671,5688.2,5672.7
1999,5494.8,5376.5,5456.2,5315.7,4916.2,5977.9,4964.4,4946.2,4890.8,5032.5,5133.2,5266.4
2000,5752.9,5955.7,5966.2,5892.8,6095.4,6466.7,6900.7,7394.1,7298.9,7415.3,7164.4,8111
2001,8794.2,9180.5,9159.8,9591.6,10153.8,10937.3,10576.4,10329,10274.2,11091.4,11169.6,10963.1
2002,10650,10581.9,11214.4,11399.1,11486.7,12440.7,12458.2,12327.9,11811.6,11451.5,11622.7,12137.7
2003,13298.8,13668.8,13531.1,13488,14086.3,14565.5,13962,15426,16500.5,18743.5,19319.3,20128.9
2004,22712.9,24797.4,22896.4,25793,27730.8,28887.4,27062.1,23774.3,22739.7,23354.8,23270.5,23844.5
2005,23073.8,21953.5,20682.4,21961.7,21482.1,21564.8,21911,22935.4,24635.9,25873.8,24355.9,24085.8
2006,23679.4,23843,23336.6,23301.2,24745.7,26161.2,27880.5,33096.4,32554.6,32643.7,32632.5,33189.3
2007,36784.51,40730.71,43456.14,47123.99,49930.19,51330.46,53021.68,50291.09,50229.01,50201.82,54189.92,57990.22
2008,58570.55,65652.38,63016.56,59440.91,58929.02,55949,53110.91,47789.2,46216.13,36325.86,33025.75,31450.78
2009,21652.2,23377.14,19825.08,21491.11,29700.24,26861.55,25286.61,23009.1,22065,21804.69,21010.29,20827.17
2010,22594.9,22985,25966.25,26453.2,26183.21,25384.14,25844.18,24268.24,23050.59,25042.16,24764.65,24770.52
2011,26830.67,26016.84,24621.21,25041.68,25866.62,24980.2,23826.99,21497.61,20373,20934.96,20003.36,20730.63
2012,20875.83,20123.51,20652.47,22045.66,22066.4,21599.57,23061.38,23750.82,26011.64,26430.92,26494.44,28078.81
2013,31853.19,33075.14,33536.25,33440.57,37794.75,36164.31,37914.33,36248.53,36585.08,37622.74,38920.85,41329.19
2014,40571.62,39558.89,38748.01,38485.48,41474.4,42482.48,42097.46,41532.31,41210.1,37550.24,34543.05,34657.15
2015,29562.07,30103.81,31744.82,34708.11,34310.37,33456.83,30180.27,29684.84,31217.77,29177.72,27385.69,28642.25
2016,23916.15,24570.73,25306.22,25062.41,27663.16,29597.79,28009.93,27599.03,28335.4,27220.09,25241.63,26874.62
2017,26036.24,25329.08,25516.34,25758.51,29498.31,33117.48,35844,35504.62,35439.98,36680.29,37944.6,38243.19
2018,44343.65,43330.54,41504.51,41268.01,38104.54,38278.55,37017.78,34848.45,32766.37,32466.27,30874.17,31430.5
2019,30557.2,31718.7,31041.42,29159.74,31069.37,29966.87,27718.26,27525.81,27630.56,26355.35,27002.15,26842.07
2020,28843.53,26216.46,21300.47,23021.01,25166.01,24479.22,24693.73,25327.13,26831.76,30530.69,35042.14,
